industry_code,avg_hrly_earnings,total_employment,women_employment,naics_supersector,naics_code,naics_sector_rollup,women_percentage,source
65624210,21.38,35.7,21.3,65,624210,62,0.5966386554621849,ces
65624230,21.15,127.7,87.1,65,624230,62,0.6820673453406421,ces
65624300,15.81,337.5,207.0,65,624300,62,0.6133333333333333,ces
65624400,14.33,907.3,853.3,65,624400,62,0.9404827510195084,ces
70000000,15.01,15684.0,8145.0,70,000000,00,0.519319051262433,ces
70710000,20.91,2235.2,1053.7,70,710000,71,0.4714119541875448,ces
70711000,31.09,457.5,188.2,70,711000,71,0.4113661202185792,ces
70711100,28.96,118.6,61.9,70,711100,71,0.5219224283305228,ces
70711130,,36.7,,70,711130,71,,ces
70711190,,81.9,,70,711190,71,,ces
70711200,34.18,129.5,37.4,70,711200,71,0.2888030888030888,ces
70711211,,80.4,,70,711211,71,,ces
70711212,,29.0,,70,711212,71,,ces
70711219,,21.3,,70,711219,71,,ces
70711300,29.61,150.7,68.0,70,711300,71,0.45122760451227606,ces
70711500,30.18,53.2,21.3,70,711500,71,0.40037593984962405,ces
70712000,23.04,161.5,99.0,70,712000,71,0.6130030959752322,ces
70712110,24.31,95.3,58.6,70,712110,71,0.614900314795383,ces
70712190,21.15,66.1,40.1,70,712190,71,0.6066565809379728,ces
70713000,17.31,1616.2,768.9,70,713000,71,0.47574557604256895,ces
70713100,14.25,205.3,100.9,70,713100,71,0.49147588894301025,ces
70713200,18.73,127.9,64.4,70,713200,71,0.5035183737294762,ces
70713210,18.07,84.5,42.3,70,713210,71,0.5005917159763313,ces
70713290,20.02,43.6,22.2,70,713290,71,0.5091743119266054,ces
70713900,17.6,1286.8,603.9,70,713900,71,0.46930369909853903,ces
70713910,18.42,371.9,116.4,70,713910,71,0.31298736219413825,ces
70713920,19.36,41.2,15.0,70,713920,71,0.36407766990291257,ces
70713930,22.74,31.3,9.1,70,713930,71,0.29073482428115016,ces
70713940,17.06,596.9,351.1,70,713940,71,0.5882057296029486,ces
70713950,13.59,66.5,29.6,70,713950,71,0.44511278195488724,ces
70713990,17.59,181.3,78.4,70,713990,71,0.43243243243243246,ces
70720000,14.1,13449.2,7091.4,70,720000,72,0.5272729976504178,ces
70721000,16.77,1950.2,1146.0,70,721000,72,0.587632037739719,ces
70721100,16.82,1881.8,1111.2,70,721100,72,0.5904984589223085,ces
70721110,16.69,1567.2,940.0,70,721110,72,0.5997958141909138,ces
70721120,,268.2,,70,721120,72,,ces
70721190,,47.1,,70,721190,72,,ces
70721191,,17.6,,70,721191,72,,ces
70721199,,29.1,,70,721199,72,,ces
70721200,15.74,66.1,31.8,70,721200,72,0.48108925869894104,ces
70721211,,30.9,,70,721211,72,,ces
70721214,,35.0,,70,721214,72,,ces
70722000,13.55,11499.0,5946.3,70,722000,72,0.5171145316984086,ces
70722300,17.2,671.0,366.5,70,722300,72,0.5461997019374069,ces
70722310,16.85,473.3,272.9,70,722310,72,0.5765899006972321,ces
70722330,18.24,196.4,97.8,70,722330,72,0.49796334012219956,ces
70722400,14.87,380.4,210.1,70,722400,72,0.5523133543638276,ces
70722500,13.25,10448.1,5363.3,70,722500,72,0.5133277820847809,ces
70722511,14.77,5403.1,2601.4,70,722511,72,0.48146434454294756,ces
70722513,11.48,4279.5,2292.7,70,722513,72,0.5357401565603458,ces
70722514,11.16,117.5,63.5,70,722514,72,0.5404255319148936,ces
70722515,12.46,643.7,409.2,70,722515,72,0.6356998601833151,ces
80000000,23.17,5708.0,3000.0,80,000000,00,0.5255781359495445,ces
80811000,21.4,1288.0,215.5,80,811000,81,0.16731366459627328,ces
80811100,19.83,913.5,140.0,80,811100,81,0.1532567049808429,ces
80811110,20.86,398.5,55.3,80,811110,81,0.13877038895859473,ces
80811111,20.86,345.0,48.0,80,811111,81,0.1391304347826087,ces
80811113,,26.8,,80,811113,81,,ces
80811118,20.77,26.9,4.0,80,811118,81,0.14869888475836432,ces
80811120,22.95,272.0,43.9,80,811120,81,0.1613970588235294,ces
80811121,,239.7,35.8,80,811121,81,0.14935335836462243,ces
80811122,,32.1,7.8,80,811122,81,0.24299065420560745,ces
80811190,13.68,243.0,40.7,80,811190,81,0.16748971193415638,ces
80811192,12.87,163.0,30.4,80,811192,81,0.18650306748466255,ces
80811198,14.98,79.1,10.3,80,811198,81,0.13021491782553732,ces
80811200,27.33,100.3,25.6,80,811200,81,0.255234297108674,ces
80811212,26.8,40.1,10.1,80,811212,81,0.25187032418952615,ces
80811219,27.6,59.7,15.5,80,811219,81,0.25963149078726966,ces
80811300,25.95,199.5,28.2,80,811300,81,0.14135338345864662,ces
80811400,18.6,76.0,21.8,80,811400,81,0.2868421052631579,ces
80812000,17.2,1458.5,1009.0,80,812000,81,0.691806650668495,ces
80812100,17.54,694.7,612.9,80,812100,81,0.8822513315100042,ces
80812110,16.94,545.4,481.5,80,812110,81,0.8828382838283829,ces
80812112,17.84,454.3,408.2,80,812112,81,0.8985252036099494,ces
80812113,12.81,90.7,73.3,80,812113,81,0.8081587651598676,ces
80812190,19.99,148.9,131.0,80,812190,81,0.8797850906648758,ces
80812200,23.36,137.8,50.5,80,812200,81,0.36647314949201737,ces
80812210,23.8,106.6,41.3,80,812210,81,0.3874296435272045,ces
80812220,21.89,30.3,8.9,80,812220,81,0.29372937293729373,ces
80812300,14.95,299.5,174.5,80,812300,81,0.5826377295492488,ces
